year,country,gdp_tier,industry,company_size,num_employees,rd_spend_pct_gdp,internet_penetration_pct,digital_maturity_index,ai_adoption_rate,adoption_level,prior_year_adoption_rate,adoption_momentum,rolling_3yr_avg,years_since_2018
2018,Australia,3,Agriculture,Large,24661,2.59,99.0,83.5,10.77,Low,10.77,0.0,10.77,0
2019,Australia,3,Agriculture,Large,32153,2.46,97.3,77.5,19.73,Low,10.77,8.96,10.77,1
2020,Australia,3,Agriculture,Large,2202,3.0,99.0,85.1,29.18,Low,19.73,9.45,15.25,2
2021,Australia,3,Agriculture,Large,14559,2.82,99.0,84.1,30.77,Medium,29.18,1.5899999999999999,19.893333333333334,3
2022,Australia,3,Agriculture,Large,35936,2.43,99.0,82.9,36.15,Medium,30.77,5.379999999999999,26.56,4
2023,Australia,3,Agriculture,Large,14919,2.81,99.0,81.4,45.36,Medium,36.15,9.21,32.03333333333333,5
2024,Australia,3,Agriculture,Large,43906,3.37,94.9,60.1,69.37,High,45.36,24.010000000000005,37.42666666666667,6
2025,Australia,3,Agriculture,Large,27974,1.9,99.0,78.3,61.11,High,69.37,-8.260000000000005,50.29333333333333,7
2018,Australia,3,Agriculture,Medium,124,2.95,99.0,85.0,6.39,Low,6.39,0.0,6.39,0
2019,Australia,3,Agriculture,Medium,991,2.75,99.0,79.0,5.9,Low,6.39,-0.4899999999999993,6.39,1
2020,Australia,3,Agriculture,Medium,736,2.17,99.0,86.6,6.04,Low,5.9,0.13999999999999968,6.145,2
2021,Australia,3,Agriculture,Medium,991,2.54,99.0,99.4,26.69,Low,6.04,20.650000000000002,6.109999999999999,3
2022,Australia,3,Agriculture,Medium,804,3.03,99.0,78.1,36.95,Medium,26.69,10.260000000000002,12.876666666666667,4
2023,Australia,3,Agriculture,Medium,838,2.74,98.6,70.8,30.75,Medium,36.95,-6.200000000000003,23.22666666666667,5
2024,Australia,3,Agriculture,Medium,616,2.11,94.6,76.7,48.15,Medium,30.75,17.4,31.46333333333334,6
2025,Australia,3,Agriculture,Medium,190,2.75,99.0,100.0,54.88,Medium,48.15,6.730000000000004,38.61666666666667,7
2018,Australia,3,Agriculture,Small,34,2.85,96.2,71.3,2.0,Low,2.0,0.0,2.0,0
2019,Australia,3,Agriculture,Small,32,2.92,94.6,64.5,7.31,Low,2.0,5.31,2.0,1
2020,Australia,3,Agriculture,Small,30,2.35,92.0,90.9,16.19,Low,7.31,8.880000000000003,4.654999999999999,2
2021,Australia,3,Agriculture,Small,18,2.53,99.0,99.0,14.24,Low,16.19,-1.950000000000001,8.5,3
2022,Australia,3,Agriculture,Small,89,2.34,94.4,83.4,20.03,Low,14.24,5.790000000000001,12.58,4
2023,Australia,3,Agriculture,Small,29,2.62,97.0,84.9,28.87,Low,20.03,8.84,16.820000000000004,5
2024,Australia,3,Agriculture,Small,76,2.67,87.5,77.2,47.42,Medium,28.87,18.55,21.04666666666667,6
2025,Australia,3,Agriculture,Small,94,2.55,99.0,83.3,52.77,Medium,47.42,5.350000000000001,32.10666666666667,7
2018,Australia,3,Automotive,Large,39102,2.59,99.0,99.1,48.12,Medium,48.12,0.0,48.12,0
2019,Australia,3,Automotive,Large,13914,2.51,98.6,78.3,55.72,High,48.12,7.600000000000001,48.12,1
2020,Australia,3,Automotive,Large,42758,2.59,96.7,100.0,60.09,High,55.72,4.3700000000000045,51.92,2
2021,Australia,3,Automotive,Large,32322,2.58,99.0,94.9,64.87,High,60.09,4.780000000000001,54.64333333333334,3
2022,Australia,3,Automotive,Large,42499,2.57,93.9,77.4,75.57,High,64.87,10.699999999999989,60.22666666666667,4
2023,Australia,3,Automotive,Large,22622,2.72,98.4,73.2,69.11,High,75.57,-6.459999999999994,66.84333333333333,5
2024,Australia,3,Automotive,Large,5876,3.21,96.5,96.0,97.0,High,69.11,27.89,69.85000000000001,6
2025,Australia,3,Automotive,Large,11387,3.14,87.5,76.0,97.0,High,97.0,0.0,80.56,7
2018,Australia,3,Automotive,Medium,281,2.61,82.6,100.0,28.6,Low,28.6,0.0,28.6,0
2019,Australia,3,Automotive,Medium,268,2.64,95.2,80.0,47.2,Medium,28.6,18.6,28.6,1
2020,Australia,3,Automotive,Medium,960,3.07,99.0,82.3,41.23,Medium,47.2,-5.970000000000006,37.900000000000006,2
2021,Australia,3,Automotive,Medium,331,2.44,99.0,90.7,45.63,Medium,41.23,4.400000000000006,39.01,3
2022,Australia,3,Automotive,Medium,880,2.17,99.0,89.8,53.66,Medium,45.63,8.029999999999994,44.68666666666667,4
2023,Australia,3,Automotive,Medium,236,2.54,99.0,80.3,61.46,High,53.66,7.800000000000004,46.839999999999996,5
2024,Australia,3,Automotive,Medium,784,3.13,99.0,86.6,68.79,High,61.46,7.330000000000005,53.583333333333336,6
2025,Australia,3,Automotive,Medium,240,2.71,99.0,97.9,84.37,High,68.79,15.579999999999998,61.30333333333334,7
2018,Australia,3,Automotive,Small,13,2.48,99.0,99.7,13.57,Low,13.57,0.0,13.57,0
2019,Australia,3,Automotive,Small,94,2.09,99.0,89.8,30.4,Medium,13.57,16.83,13.57,1
2020,Australia,3,Automotive,Small,37,2.44,99.0,100.0,26.67,Low,30.4,-3.729999999999997,21.985,2
2021,Australia,3,Automotive,Small,90,2.5,88.6,77.5,31.75,Medium,26.67,5.079999999999998,23.546666666666667,3
2022,Australia,3,Automotive,Small,64,2.62,99.0,81.8,41.79,Medium,31.75,10.04,29.606666666666666,4
2023,Australia,3,Automotive,Small,71,2.68,99.0,86.0,50.25,Medium,41.79,8.46,33.403333333333336,5
2024,Australia,3,Automotive,Small,83,2.5,99.0,84.1,63.95,High,50.25,13.700000000000003,41.26333333333333,6
2025,Australia,3,Automotive,Small,83,3.07,94.0,93.7,67.0,High,63.95,3.049999999999997,51.99666666666667,7
2018,Australia,3,Education,Large,47970,2.47,99.0,89.3,31.57,Medium,31.57,0.0,31.57,0
2019,Australia,3,Education,Large,17963,2.35,99.0,100.0,27.18,Low,31.57,-4.390000000000001,31.57,1
2020,Australia,3,Education,Large,27025,2.39,98.9,82.4,46.2,Medium,27.18,19.020000000000003,29.375,2
2021,Australia,3,Education,Large,29069,3.18,99.0,92.6,63.1,High,46.2,16.9,34.983333333333334,3
2022,Australia,3,Education,Large,14764,2.88,99.0,83.3,47.12,Medium,63.1,-15.980000000000004,45.49333333333333,4
2023,Australia,3,Education,Large,48210,2.68,86.6,77.9,68.01,High,47.12,20.890000000000008,52.14000000000001,5
2024,Australia,3,Education,Large,19205,2.88,99.0,80.9,76.86,High,68.01,8.849999999999994,59.410000000000004,6
2025,Australia,3,Education,Large,36306,2.66,96.5,95.3,87.16,High,76.86,10.299999999999997,63.99666666666667,7
2018,Australia,3,Education,Medium,417,2.62,99.0,87.5,12.22,Low,12.22,0.0,12.22,0
2019,Australia,3,Education,Medium,209,2.4,93.4,91.7,22.45,Low,12.22,10.229999999999999,12.22,1
2020,Australia,3,Education,Medium,858,2.62,99.0,89.1,32.09,Medium,22.45,9.640000000000004,17.335,2
2021,Australia,3,Education,Medium,966,2.68,97.7,70.9,33.11,Medium,32.09,1.019999999999996,22.253333333333334,3
2022,Australia,3,Education,Medium,552,2.24,99.0,90.8,39.8,Medium,33.11,6.689999999999998,29.21666666666667,4
2023,Australia,3,Education,Medium,795,2.27,94.9,83.8,53.72,Medium,39.8,13.920000000000002,35.0,5
2024,Australia,3,Education,Medium,506,2.52,97.5,71.5,67.54,High,53.72,13.820000000000007,42.21,6
2025,Australia,3,Education,Medium,246,2.5,95.9,85.4,75.86,High,67.54,8.319999999999993,53.68666666666667,7
2018,Australia,3,Education,Small,10,3.0,99.0,85.3,7.98,Low,7.98,0.0,7.98,0
2019,Australia,3,Education,Small,46,2.28,99.0,63.8,12.31,Low,7.98,4.33,7.98,1
2020,Australia,3,Education,Small,64,2.65,99.0,99.5,16.52,Low,12.31,4.209999999999999,10.145,2
2021,Australia,3,Education,Small,98,2.57,99.0,83.6,29.54,Low,16.52,13.02,12.270000000000001,3
2022,Australia,3,Education,Small,17,2.67,99.0,75.6,40.78,Medium,29.54,11.240000000000002,19.456666666666667,4
2023,Australia,3,Education,Small,17,2.63,99.0,93.7,34.7,Medium,40.78,-6.079999999999998,28.94666666666667,5
2024,Australia,3,Education,Small,8,2.32,99.0,94.1,50.47,Medium,34.7,15.769999999999996,35.00666666666667,6
2025,Australia,3,Education,Small,14,2.54,99.0,81.5,69.05,High,50.47,18.58,41.98333333333334,7
2018,Australia,3,Financial Services,Large,20530,2.03,96.8,100.0,40.75,Medium,40.75,0.0,40.75,0
2019,Australia,3,Financial Services,Large,43976,3.1,94.9,97.5,63.18,High,40.75,22.43,40.75,1
