country,industry,company_size,year,predicted_adoption_rate
Australia,Agriculture,Large,2026,52.88
Australia,Agriculture,Medium,2026,61.63
Australia,Agriculture,Small,2026,58.42
Australia,Automotive,Large,2026,97.02
Australia,Automotive,Medium,2026,97.58
Australia,Automotive,Small,2026,69.86
Australia,Education,Large,2026,96.83
Australia,Education,Medium,2026,84.38
Australia,Education,Small,2026,87.49
Australia,Financial Services,Large,2026,97.0
Australia,Financial Services,Medium,2026,92.76
Australia,Financial Services,Small,2026,94.37
Australia,Gaming,Large,2026,97.41
Australia,Gaming,Medium,2026,89.75
Australia,Gaming,Small,2026,85.91
Australia,Government,Large,2026,78.19
Australia,Government,Medium,2026,65.47
Australia,Government,Small,2026,70.58
Australia,Healthcare,Large,2026,97.37
Australia,Healthcare,Medium,2026,80.21
Australia,Healthcare,Small,2026,81.17
Australia,Legal,Large,2026,81.46
Australia,Legal,Medium,2026,83.45
Australia,Legal,Small,2026,60.98
Australia,Manufacturing,Large,2026,98.08
Australia,Manufacturing,Medium,2026,92.8
Australia,Manufacturing,Small,2026,62.51
Australia,Media & Entertainment,Large,2026,86.06
Australia,Media & Entertainment,Medium,2026,88.86
Australia,Media & Entertainment,Small,2026,84.96
Australia,Retail,Large,2026,98.6
Australia,Retail,Medium,2026,90.29
Australia,Retail,Small,2026,66.07
Australia,Technology,Large,2026,97.04
Australia,Technology,Medium,2026,97.28
Australia,Technology,Small,2026,86.9
Brazil,Agriculture,Large,2026,62.38
Brazil,Agriculture,Medium,2026,49.21
Brazil,Agriculture,Small,2026,51.14
Brazil,Automotive,Large,2026,97.36
Brazil,Automotive,Medium,2026,77.52
Brazil,Automotive,Small,2026,62.04
Brazil,Education,Large,2026,92.68
Brazil,Education,Medium,2026,50.98
Brazil,Education,Small,2026,77.65
Brazil,Financial Services,Large,2026,99.17
Brazil,Financial Services,Medium,2026,78.57
Brazil,Financial Services,Small,2026,88.1
Brazil,Gaming,Large,2026,94.23
Brazil,Gaming,Medium,2026,80.62
Brazil,Gaming,Small,2026,51.9
Brazil,Government,Large,2026,77.2
Brazil,Government,Medium,2026,74.73
Brazil,Government,Small,2026,51.06
Brazil,Healthcare,Large,2026,99.5
Brazil,Healthcare,Medium,2026,69.58
Brazil,Healthcare,Small,2026,84.14
Brazil,Legal,Large,2026,80.6
Brazil,Legal,Medium,2026,62.87
Brazil,Legal,Small,2026,43.94
Brazil,Manufacturing,Large,2026,89.37
Brazil,Manufacturing,Medium,2026,78.92
Brazil,Manufacturing,Small,2026,59.28
Brazil,Media & Entertainment,Large,2026,96.36
Brazil,Media & Entertainment,Medium,2026,94.93
Brazil,Media & Entertainment,Small,2026,74.22
Brazil,Retail,Large,2026,99.1
Brazil,Retail,Medium,2026,79.76
Brazil,Retail,Small,2026,74.81
Brazil,Technology,Large,2026,96.91
Brazil,Technology,Medium,2026,99.5
Brazil,Technology,Small,2026,70.97
Canada,Agriculture,Large,2026,96.08
Canada,Agriculture,Medium,2026,79.24
Canada,Agriculture,Small,2026,63.75
Canada,Automotive,Large,2026,96.97
Canada,Automotive,Medium,2026,93.53
Canada,Automotive,Small,2026,83.49
Canada,Education,Large,2026,98.59
Canada,Education,Medium,2026,75.01
Canada,Education,Small,2026,58.61
Canada,Financial Services,Large,2026,96.99
Canada,Financial Services,Medium,2026,91.36
Canada,Financial Services,Small,2026,86.83
Canada,Gaming,Large,2026,96.98
Canada,Gaming,Medium,2026,97.02
Canada,Gaming,Small,2026,84.41
Canada,Government,Large,2026,84.36
Canada,Government,Medium,2026,84.68
Canada,Government,Small,2026,64.18
Canada,Healthcare,Large,2026,97.0
Canada,Healthcare,Medium,2026,97.07
Canada,Healthcare,Small,2026,84.61
Canada,Legal,Large,2026,89.02
Canada,Legal,Medium,2026,74.28
Canada,Legal,Small,2026,63.87
Canada,Manufacturing,Large,2026,97.01
Canada,Manufacturing,Medium,2026,99.5
Canada,Manufacturing,Small,2026,76.48
Canada,Media & Entertainment,Large,2026,97.06
Canada,Media & Entertainment,Medium,2026,93.26
Canada,Media & Entertainment,Small,2026,75.07
Canada,Retail,Large,2026,89.74
Canada,Retail,Medium,2026,89.04
Canada,Retail,Small,2026,57.66
Canada,Technology,Large,2026,97.05
Canada,Technology,Medium,2026,97.36
Canada,Technology,Small,2026,94.57
China,Agriculture,Large,2026,76.66
China,Agriculture,Medium,2026,54.58
China,Agriculture,Small,2026,73.62
